"date","open","high","low","close","volume","market_cap"
"2023-01-01","0.0702874592","0.0706854975","0.0692887692","0.0702246699","185279750","9316760629.00"
"2022-12-31","0.0683937084","0.0711092167","0.0681623048","0.0702939860","289371048","9325956852.00"
"2022-12-30","0.0710316401","0.0713078711","0.0669526933","0.0684035554","419889739","9075151972.00"
"2022-12-29","0.0703803044","0.0713023078","0.0697706056","0.0710415379","285144119","9425135128.00"
"2022-12-28","0.0737267283","0.0738210390","0.0700518638","0.0703812989","496350491","9337540717.00"
"2022-12-27","0.0757627498","0.0760218039","0.0731313306","0.0737236418","290428818","9780971908.00"
"2022-12-26","0.0759648553","0.0763612115","0.0747721439","0.0757828293","248935710","10054165880.00"
"2022-12-25","0.0776318444","0.0776442985","0.0742290148","0.0759516764","423876256","10076566957.00"
"2022-12-24","0.0771279811","0.0779764132","0.0768175397","0.0776477016","165055616","10301579920.00"
"2022-12-23","0.0769610085","0.0786375710","0.0767415902","0.0771285068","398842518","10232697942.00"
"2022-12-22","0.0736778083","0.0773619772","0.0733906237","0.0769669891","593083646","10211269267.00"
"2022-12-21","0.0749317008","0.0749644210","0.0720097126","0.0736791075","349830700","9775063506.00"
"2022-12-20","0.0714415464","0.0752474111","0.0714223264","0.0749347222","438099131","9941646872.00"
"2022-12-19","0.0786481234","0.0793421409","0.0709129872","0.0714294431","581773248","9476598805.00"
"2022-12-18","0.0792617017","0.0798652709","0.0779203729","0.0786408238","256971054","10433338197.00"
"2022-12-17","0.0759440648","0.0793754852","0.0758925148","0.0792668541","495547979","10516394111.00"
"2022-12-16","0.0847220170","0.0867305315","0.0753878783","0.0759416750","699338853","10075240068.00"
"2022-12-15","0.0885081070","0.0887619200","0.0844186605","0.0847217027","412364377","11240093053.00"
"2022-12-14","0.0909582873","0.0922401444","0.0869361650","0.0869674775","575738251","11538041705.00"
"2022-12-13","0.0902552002","0.0943798720","0.0877177643","0.0909397450","766352149","12065045472.00"
"2022-12-12","0.0928723172","0.0930047674","0.0872884357","0.0902580897","749817261","11974609745.00"
"2022-12-11","0.0964637408","0.0970934743","0.0926677427","0.0928748824","300470314","12321781630.00"
"2022-12-10","0.0966629293","0.0973556051","0.0962584523","0.0964568248","242190274","12797000670.00"
"2022-12-09","0.0985379743","0.0990864853","0.0960005052","0.0966622531","423432535","12824254997.00"
"2022-12-08","0.0957845633","0.0988737963","0.0953666802","0.0985398238","492909326","13073353736.00"
"2022-12-07","0.1002810175","0.1009495418","0.0950165161","0.0957830745","622336382","12707613697.00"
"2022-12-06","0.1014800518","0.1026271409","0.0985076745","0.1002783763","534648134","13304008821.00"
"2022-12-05","0.1042522251","0.1110121550","0.1000627895","0.1014741922","1051327257","13462658633.00"
"2022-12-04","0.0998106201","0.1052644007","0.0998056384","0.1042861529","759219556","13835723612.00"
"2022-12-03","0.1021498025","0.1028232701","0.0986509069","0.0998237710","632114945","13243695994.00"
"2022-12-02","0.1015938844","0.1032598077","0.0976394381","0.1021476689","776013992","13552009301.00"
"2022-12-01","0.1068572333","0.1073809691","0.1010706315","0.1015838008","891639200","13477200488.00"
"2022-11-30","0.1018273910","0.1089421455","0.1003041583","0.1068597972","1388624554","14177170963.00"
"2022-11-29","0.0951308896","0.1047119400","0.0940189867","0.1018528506","1352427444","13512895531.00"
"2022-11-28","0.0986761246","0.0993268945","0.0914491394","0.0951217121","1375600313","12619870242.00"
"2022-11-27","0.0889786136","0.1064326541","0.0889786136","0.0987115885","1965264746","13096141897.00"
"2022-11-26","0.0894650439","0.0947400579","0.0883912991","0.0889882032","902063657","11806132933.00"
"2022-11-25","0.0814686344","0.0909901217","0.0809367188","0.0894753132","1022484210","11870758194.00"
"2022-11-24","0.0817921022","0.0836657467","0.0807585338","0.0814806519","360326829","10810100363.00"
"2022-11-23","0.0784998445","0.0831282450","0.0779663644","0.0817861833","529744394","10850635449.00"
"2022-11-22","0.0747083201","0.0789631947","0.0734074285","0.0784884915","556392478","10413128152.00"
"2022-11-21","0.0771752011","0.0771876708","0.0724042207","0.0747110222","660061266","9911968411.00"
"2022-11-20","0.0845821198","0.0856819919","0.0770428087","0.0771738808","499031478","10238717743.00"
"2022-11-19","0.0846720457","0.0849049238","0.0833870710","0.0845812449","246661551","11221458410.00"
"2022-11-18","0.0847639005","0.0865035956","0.0838049199","0.0846723951","337485765","11233551369.00"
"2022-11-17","0.0855941937","0.0869542583","0.0831776028","0.0847650618","461654196","11245845536.00"
"2022-11-16","0.0869636407","0.0906588063","0.0839862740","0.0855825857","712826081","11354307056.00"
"2022-11-15","0.0858787844","0.0889197600","0.0853596009","0.0869712731","640084421","11538545274.00"
"2022-11-14","0.0849262623","0.0907743178","0.0801014727","0.0858790001","1212678659","11393632585.00"
"2022-11-13","0.0880525844","0.0911371922","0.0838102967","0.0848929850","949584215","11262817197.00"
"2022-11-12","0.0849086093","0.0939935878","0.0793003226","0.0880394485","1842469589","11680260926.00"
"2022-11-11","0.0897793505","0.0918646535","0.0813972087","0.0848850517","1305192050","11261764685.00"
"2022-11-10","0.0742960490","0.0932562861","0.0737353376","0.0897890725","2421832556","11912384868.00"
"2022-11-09","0.0884050091","0.0910959408","0.0721088685","0.0742875263","2807794508","9855782890.00"
"2022-11-08","0.1112776180","0.1122964465","0.0806544479","0.0884103636","3545838435","11729470505.00"
"2022-11-07","0.1146260307","0.1185773884","0.1088140664","0.1112985592","1337977256","14766064919.00"
"2022-11-06","0.1243820381","0.1267016508","0.1136340373","0.1146064330","1316810628","15204923054.00"
"2022-11-05","0.1262791600","0.1351449673","0.1233924024","0.1243881784","1907421740","16502674701.00"
"2022-11-04","0.1225554800","0.1285988050","0.1164448985","0.1262801488","2957002544","16753683862.00"
"2022-11-03","0.1278006927","0.1359903374","0.1214110015","0.1225921971","2570574344","16264400488.00"
"2022-11-02","0.1425237945","0.1473906527","0.1240665130","0.1278297239","4675647398","16959267168.00"
"2022-11-01","0.1269845168","0.1572029064","0.1251766654","0.1425747847","7877293443","18915505663.00"
"2022-10-31","0.1177519227","0.1302452337","0.1150756492","0.1270259913","5814247122","16852635357.00"
"2022-10-30","0.1216438300","0.1416569086","0.1128918156","0.1178022893","7908593943","15628919762.00"
"2022-10-29","0.0839327487","0.1493916747","0.0833873434","0.1216032454","12157642295","16133195507.00"
"2022-10-28","0.0770276958","0.0879008189","0.0729303823","0.0838971185","3172500998","11130694833.00"
"2022-10-27","0.0727987859","0.0848252078","0.0720334276","0.0770184901","2652784687","10218101947.00"
"2022-10-26","0.0628561870","0.0732738399","0.0627596935","0.0727998817","1357027720","9658415951.00"
"2022-10-25","0.0595015711","0.0640490419","0.0592274560","0.0628819342","475512798","8342594266.00"
"2022-10-24","0.0603414394","0.0608140873","0.0588584967","0.0595060561","226574582","7894713938.00"
"2022-10-23","0.0596827934","0.0603794390","0.0589273668","0.0603473412","182523574","8006327877.00"
"2022-10-22","0.0593369223","0.0598456500","0.0591839966","0.0596940049","159431211","7919649250.00"
"2022-10-21","0.0595262356","0.0595262356","0.0574181461","0.0593342551","224787599","7871920977.00"
"2022-10-20","0.0587107112","0.0602370188","0.0584488292","0.0595356366","241388629","7898638415.00"
"2022-10-19","0.0597785415","0.0606799516","0.0586276519","0.0587131205","287297160","7789514567.00"
"2022-10-18","0.0599352254","0.0607727696","0.0587522653","0.0597758053","239236217","7930501780.00"
"2022-10-17","0.0589132398","0.0600565440","0.0586247936","0.0599354578","174261450","7951682992.00"
"2022-10-16","0.0585832722","0.0594145633","0.0585832722","0.0589137774","162246280","7816135872.00"
"2022-10-15","0.0586378909","0.0595669972","0.0581463673","0.0585803530","182208164","7771900212.00"
"2022-10-14","0.0596657702","0.0609431652","0.0583149998","0.0586433324","242691428","7780255732.00"
"2022-10-13","0.0598713269","0.0601589802","0.0557405361","0.0596735019","466439561","7916929107.00"
"2022-10-12","0.0602591099","0.0608659658","0.0595403889","0.0598814232","199133107","7944514180.00"
"2022-10-11","0.0595082385","0.0606531266","0.0578874221","0.0602583101","295967660","7994516055.00"
"2022-10-10","0.0621509746","0.0624691803","0.0595134881","0.0595134881","254559947","7895699950.00"
"2022-10-09","0.0616717366","0.0623416521","0.0612917849","0.0621555773","158280271","8246227943.00"
"2022-10-08","0.0624136377","0.0625759034","0.0613812155","0.0616777518","169254316","8182834473.00"
"2022-10-07","0.0634488599","0.0637172390","0.0615703638","0.0624092968","299717355","8279889101.00"
"2022-10-06","0.0647398816","0.0666178890","0.0632230297","0.0634435990","387962670","8417110770.00"
"2022-10-05","0.0659382653","0.0664645931","0.0629969670","0.0647345860","606625264","8588387007.00"
"2022-10-04","0.0603812649","0.0662521455","0.0600405540","0.0659616282","826424315","8751179629.00"
"2022-10-03","0.0592873563","0.0604670046","0.0590782538","0.0603840719","195766521","8011200975.00"
"2022-10-02","0.0606280650","0.0609080813","0.0591281455","0.0592882601","198168354","7865818785.00"
"2022-10-01","0.0616495797","0.0628057931","0.0604004923","0.0606270651","347895210","8043439065.00"
"2022-09-30","0.0607379415","0.0620399273","0.0599584794","0.0616527597","369084721","8179518753.00"
"2022-09-29","0.0606238532","0.0610364554","0.0594228861","0.0607276526","229157794","8056784084.00"
"2022-09-28","0.0605965328","0.0610385141","0.0587540629","0.0606225398","277399298","8042838684.00"
"2022-09-27","0.0610838590","0.0629310651","0.0599272773","0.0606089893","337427597","8041040940.00"
"2022-09-26","0.0611673649","0.0617970686","0.0600514779","0.0610890386","323710024","8104729435.00"
"2022-09-25","0.0632234254","0.0636787458","0.0604565934","0.0611519277","367453954","8113072988.00"
"2022-09-24","0.0633328540","0.0679727017","0.0630289838","0.0632340725","969527520","8389312728.00"
"2022-09-23","0.0595933247","0.0640317531","0.0595654246","0.0633358995","704823246","8402822198.00"
"2022-09-22","0.0573858220","0.0598381280","0.0569449973","0.0595986116","241738854","7906993348.00"
"2022-09-21","0.0584233917","0.0604783493","0.0563783270","0.0574038622","406017754","7615814271.00"
"2022-09-20","0.0586120337","0.0602616086","0.0577378377","0.0584165641","294929292","7750170211.00"
"2022-09-19","0.0575188131","0.0587444886","0.0561803234","0.0586120810","301268388","7776109587.00"
"2022-09-18","0.0622098989","0.0622098989","0.0572375820","0.0575195657","265405123","7631164742.00"
"2022-09-17","0.0604304759","0.0623154094","0.0603297269","0.0622102656","209604118","8253483488.00"
"2022-09-16","0.0587917720","0.0604230542","0.0584525600","0.0604230542","247011315","8016372777.00"
"2022-09-15","0.0611678258","0.0612112303","0.0587846595","0.0587912962","327176374","7799886203.00"
"2022-09-14","0.0597167210","0.0614248921","0.0595423486","0.0611726549","369554274","8115822873.00"
"2022-09-13","0.0639029895","0.0639810925","0.0595235500","0.0601292347","461644992","7977391521.00"
"2022-09-12","0.0637152794","0.0651935897","0.0628784171","0.0639045935","383630738","8478271266.00"
"2022-09-11","0.0647711390","0.0651874271","0.0630099209","0.0637139707","327741964","8452981187.00"
"2022-09-10","0.0640092062","0.0652410988","0.0634035053","0.0647764650","413101249","8593943122.00"
"2022-09-09","0.0609737105","0.0646218070","0.0609340462","0.0640184311","487988731","8493374188.00"
"2022-09-08","0.0610885482","0.0612926813","0.0599225286","0.0609771610","268099701","8089886557.00"
"2022-09-07","0.0589644000","0.0614503593","0.0579441001","0.0611040801","324781386","8106725009.00"
"2022-09-06","0.0627502039","0.0646417380","0.0586517643","0.0589833142","471485707","7825361373.00"
"2022-09-05","0.0632298540","0.0636401734","0.0612972292","0.0627375356","231918999","8323436799.00"
"2022-09-04","0.0626966090","0.0637139060","0.0620659871","0.0632263329","250044435","8388285912.00"
"2022-09-03","0.0616286760","0.0636006009","0.0613442601","0.0626935918","297123402","8317606742.00"
"2022-09-02","0.0623724380","0.0627121786","0.0609468457","0.0616349995","273453013","8177162497.00"
"2022-09-01","0.0613360088","0.0624790465","0.0601937935","0.0623717638","328765412","8274909580.00"
"2022-08-31","0.0615339661","0.0633329850","0.0610584991","0.0613301041","309748693","8136711789.00"
"2022-08-30","0.0638989294","0.0644081993","0.0605503545","0.0615253661","328934726","8162617342.00"
"2022-08-29","0.0617530320","0.0639823786","0.0612463763","0.0638873414","315005254","8475982410.00"
"2022-08-28","0.0635576928","0.0642681083","0.0617857646","0.0617857646","295086067","8197164608.00"
"2022-08-27","0.0635705204","0.0640654406","0.0626066698","0.0635867381","380887727","8436101141.00"
"2022-08-26","0.0690820294","0.0692964955","0.0632542995","0.0635720963","620512451","8434158604.00"
"2022-08-25","0.0679912165","0.0715790732","0.0679571273","0.0690940188","469798193","9166756287.00"
"2022-08-24","0.0687713327","0.0694148341","0.0672982702","0.0679904968","345474347","9020351173.00"
"2022-08-23","0.0683945567","0.0691685310","0.0672131599","0.0687695546","335476542","9123709368.00"
"2022-08-22","0.0694414301","0.0694886643","0.0656061222","0.0683911813","453413439","9073510290.00"
"2022-08-21","0.0695292113","0.0706462254","0.0678468956","0.0694484644","421455864","9213780847.00"
"2022-08-20","0.0678972702","0.0709614079","0.0678972702","0.0695398747","537299424","9225908326.00"
"2022-08-19","0.0750445671","0.0751833820","0.0675357062","0.0679390569","965543533","9013526603.00"
"2022-08-18","0.0801735267","0.0820873172","0.0749893869","0.0750788865","621394158","9960773256.00"
"2022-08-17","0.0869325225","0.0881125988","0.0799265020","0.0801543251","996272860","10634135573.00"
"2022-08-16","0.0766950630","0.0886391272","0.0763943171","0.0869636513","1947377918","11537534090.00"
"2022-08-15","0.0816976661","0.0818203480","0.0751510484","0.0767199535","855017472","10178494868.00"
"2022-08-14","0.0728560628","0.0840127002","0.0727539915","0.0816871392","1530403447","10837495194.00"
"2022-08-13","0.0723437864","0.0748600223","0.0719508305","0.0728403578","446287445","9663785944.00"
"2022-08-12","0.0709307152","0.0724801695","0.0700268525","0.0723452223","320410367","9598095936.00"
"2022-08-11","0.0712052422","0.0746461172","0.0707267394","0.0709304064","563908591","9410391234.00"
"2022-08-10","0.0691190458","0.0713089894","0.0673886278","0.0711950165","431172729","9445497252.00"
"2022-08-09","0.0700614114","0.0738864374","0.0684624118","0.0691251871","611327141","9170891404.00"
"2022-08-08","0.0689463934","0.0720577374","0.0689225972","0.0700548842","399183407","9294235030.00"
"2022-08-07","0.0686690709","0.0698993976","0.0677470548","0.0689401341","204862520","9146340283.00"
"2022-08-06","0.0697660715","0.0709990009","0.0685857649","0.0686743416","277979112","9111077389.00"
"2022-08-05","0.0673334929","0.0701171597","0.0672555678","0.0697646521","336216726","9255729717.00"
"2022-08-04","0.0661974724","0.0675022028","0.0660074027","0.0673567932","256457805","8936277229.00"
"2022-08-03","0.0666921993","0.0683199709","0.0655162439","0.0661953067","286819386","8782181926.00"
"2022-08-02","0.0687080242","0.0688955603","0.0658088663","0.0666935957","336642236","8848290322.00"
"2022-08-01","0.0682661922","0.0707212031","0.0671869636","0.0687252711","444088167","9117834246.00"
"2022-07-31","0.0696422617","0.0720276416","0.0680542614","0.0682722270","521194035","9057728540.00"
"2022-07-30","0.0689053622","0.0739098711","0.0681862303","0.0696436548","760571682","9239676912.00"
"2022-07-29","0.0691036787","0.0720042356","0.0675486219","0.0689091465","696887711","9142229129.00"
"2022-07-28","0.0670311266","0.0705773725","0.0655905100","0.0691081838","650983024","9168635568.00"
"2022-07-27","0.0625141167","0.0670205521","0.0618864497","0.0670205521","499204589","8891667873.00"
"2022-07-26","0.0623194657","0.0625120984","0.0604245484","0.0625120984","416488015","8293527878.00"
"2022-07-25","0.0677156196","0.0678799286","0.0623055414","0.0623055414","448572441","8266123804.00"
"2022-07-24","0.0681162022","0.0688544044","0.0675885815","0.0677243869","369141492","8985046175.00"
"2022-07-23","0.0675309104","0.0693322761","0.0662773896","0.0681237355","427922350","9038028051.00"
"2022-07-22","0.0699703838","0.0712704456","0.0670032826","0.0675632016","479456105","8963661597.00"
"2022-07-21","0.0701239342","0.0707324737","0.0672368328","0.0699598152","492434238","9281622159.00"
"2022-07-20","0.0690153375","0.0765738886","0.0679280857","0.0701197673","1019375521","9302843117.00"
"2022-07-19","0.0676899473","0.0698995298","0.0657516875","0.0690127224","552211167","9155970622.00"
"2022-07-18","0.0631142002","0.0686735661","0.0631142002","0.0677150158","564795958","8983802899.00"
"2022-07-17","0.0642881883","0.0653942993","0.0631010181","0.0631073200","249697026","8372496382.00"
"2022-07-16","0.0630369797","0.0647247272","0.0618698071","0.0642799230","279644299","8528066515.00"
"2022-07-15","0.0624003478","0.0642588385","0.0617471281","0.0630421249","374357844","8363846887.00"
"2022-07-14","0.0619325531","0.0626320142","0.0597407838","0.0623939476","348090509","8277852718.00"
"2022-07-13","0.0600850561","0.0620105735","0.0583977098","0.0619526291","446505399","8219302651.00"
"2022-07-12","0.0618506823","0.0628613281","0.0600868231","0.0600868231","298462082","7971764743.00"
"2022-07-11","0.0672684250","0.0672684250","0.0615346564","0.0618466673","326125899","8205244619.00"
"2022-07-10","0.0695089748","0.0695089748","0.0665330534","0.0672625542","299810124","8923774475.00"
"2022-07-09","0.0692238450","0.0700094129","0.0689950747","0.0695118928","254272147","9222195947.00"
"2022-07-08","0.0706180595","0.0730085443","0.0685407317","0.0692570052","444369732","9188379818.00"
"2022-07-07","0.0685788197","0.0711235169","0.0680531103","0.0706208370","402591742","9369320423.00"
"2022-07-06","0.0671716893","0.0690582236","0.0664478037","0.0685827510","398926503","9098925996.00"
"2022-07-05","0.0694310858","0.0698408276","0.0656968552","0.0671547983","403220687","8909478415.00"
"2022-07-04","0.0671743324","0.0696046246","0.0659268222","0.0694722850","379581122","9216941149.00"
"2022-07-03","0.0666981648","0.0673561980","0.0651108163","0.0671794421","280878240","8912747930.00"
"2022-07-02","0.0662051918","0.0676917834","0.0659330389","0.0666982506","352589827","8848907883.00"
"2022-07-01","0.0662084975","0.0678619280","0.0642244939","0.0661747602","472441457","8779456012.00"
"2022-06-30","0.0694812981","0.0695126810","0.0627462573","0.0660855817","566648029","8767624633.00"
"2022-06-29","0.0659963546","0.0713352511","0.0646346437","0.0694679074","592828738","9216360367.00"
"2022-06-28","0.0722211791","0.0729512593","0.0657227259","0.0659567275","534793982","8750529447.00"
"2022-06-27","0.0731540385","0.0783886541","0.0710177188","0.0722392724","962250060","9584039487.00"
"2022-06-26","0.0684877295","0.0769664916","0.0675039500","0.0731766781","883689354","9708405809.00"
"2022-06-25","0.0671099127","0.0691121088","0.0653842550","0.0685026436","432671863","9088298080.00"
"2022-06-24","0.0640187277","0.0681618989","0.0640043447","0.0671240805","514729443","8905403066.00"
"2022-06-23","0.0617026497","0.0646153490","0.0617026497","0.0640323566","434169751","8495221692.00"
"2022-06-22","0.0656064230","0.0657508153","0.0613892241","0.0617114532","633619298","8187305661.00"
"2022-06-21","0.0601749657","0.0693242454","0.0593150117","0.0655713728","1051899538","8699404142.00"
"2022-06-20","0.0603985213","0.0611570689","0.0577065623","0.0601767893","499018790","7983700626.00"
"2022-06-19","0.0530072912","0.0624720702","0.0513075222","0.0603956501","1166163984","8012737057.00"
"2022-06-18","0.0569786052","0.0577549425","0.0497197617","0.0530121595","652345943","7033163720.00"
"2022-06-17","0.0550468342","0.0579112658","0.0548982849","0.0569947082","383830483","7561531503.00"
"2022-06-16","0.0629771443","0.0629771443","0.0545080738","0.0550290536","724479687","7300746597.00"
